time[s],u[m/s]
488,4.455725e-01,8.000000e+00
489,9.881506e-01,1.900000e+01
490,4.683596e-02,0.000000e+00
491,1.785694e-01,3.000000e+00
492,5.867295e-01,1.100000e+01
493,9.699119e-01,1.900000e+01
494,1.167310e-01,2.000000e+00
495,4.124196e-01,8.000000e+00
496,9.693187e-01,1.900000e+01
497,1.189598e-01,2.000000e+00
498,4.192335e-01,8.000000e+00
499,9.739071e-01,1.900000e+01
500,1.016482e-01,2.000000e+00
501,3.652634e-01,7.000000e+00
502,9.273842e-01,1.800000e+01
503,2.693710e-01,5.000000e+00
504,7.872411e-01,1.500000e+01
505,6.699702e-01,1.300000e+01
506,8.844405e-01,1.700000e+01
507,4.088221e-01,8.000000e+00
508,9.667464e-01,1.900000e+01
509,1.285912e-01,2.000000e+00
510,4.482222e-01,8.000000e+00
511,9.892762e-01,1.900000e+01
512,4.243513e-02,0.000000e+00
513,1.625376e-01,3.000000e+00
514,5.444764e-01,1.000000e+01
515,9.920874e-01,1.900000e+01
516,3.139995e-02,0.000000e+00
517,1.216560e-01,2.000000e+00
518,4.274232e-01,8.000000e+00
519,9.789304e-01,1.900000e+01
520,8.250257e-02,1.000000e+00
521,3.027836e-01,6.000000e+00
522,8.444227e-01,1.600000e+01
523,5.254919e-01,1.000000e+01
524,9.974006e-01,1.900000e+01
525,1.037038e-02,0.000000e+00
526,4.105133e-02,0.000000e+00
527,1.574645e-01,3.000000e+00
528,5.306776e-01,1.000000e+01
529,9.962355e-01,1.900000e+01
530,1.500119e-02,0.000000e+00
531,5.910460e-02,1.000000e+00
532,2.224450e-01,4.000000e+00
533,6.918529e-01,1.300000e+01
534,8.527699e-01,1.700000e+01
535,5.022136e-01,1.000000e+01
536,9.999804e-01,1.900000e+01
537,7.839871e-05,0.000000e+00
538,3.135703e-04,0.000000e+00
539,1.253888e-03,0.000000e+00
540,5.009262e-03,0.000000e+00
541,1.993668e-02,0.000000e+00
542,7.815683e-02,1.000000e+00
543,2.881934e-01,5.000000e+00
